symbol,date,trending
AMZN,30-Oct-11,15
AMZN,6-Nov-11,22
AMZN,13-Nov-11,20
AMZN,20-Nov-11,19
AMZN,27-Nov-11,19
AMZN,4-Dec-11,17
AMZN,11-Dec-11,18
AMZN,18-Dec-11,28
AMZN,25-Dec-11,21
AMZN,1-Jan-12,14
AMZN,8-Jan-12,13
AMZN,15-Jan-12,13
AMZN,22-Jan-12,17
AMZN,29-Jan-12,18
AMZN,5-Feb-12,19
AMZN,12-Feb-12,16
AMZN,19-Feb-12,20
AMZN,26-Feb-12,21
AMZN,4-Mar-12,15
AMZN,11-Mar-12,15
AMZN,18-Mar-12,18
AMZN,25-Mar-12,19
AMZN,1-Apr-12,20
AMZN,8-Apr-12,23
AMZN,15-Apr-12,19
AMZN,22-Apr-12,20
AMZN,29-Apr-12,25
AMZN,6-May-12,24
AMZN,13-May-12,21
AMZN,20-May-12,18
AMZN,27-May-12,19
AMZN,3-Jun-12,21
AMZN,10-Jun-12,22
AMZN,17-Jun-12,18
AMZN,24-Jun-12,18
AMZN,1-Jul-12,19
AMZN,8-Jul-12,19
AMZN,15-Jul-12,17
AMZN,22-Jul-12,20
AMZN,29-Jul-12,16
AMZN,5-Aug-12,14
AMZN,12-Aug-12,17
AMZN,19-Aug-12,11
AMZN,26-Aug-12,14
AMZN,2-Sep-12,12
AMZN,9-Sep-12,13
AMZN,16-Sep-12,12
AMZN,23-Sep-12,14
AMZN,30-Sep-12,13
AMZN,7-Oct-12,15
AMZN,14-Oct-12,16
AMZN,21-Oct-12,14
AMZN,28-Oct-12,15
AMZN,4-Nov-12,13
AMZN,11-Nov-12,14
AMZN,18-Nov-12,17
AMZN,25-Nov-12,18
AMZN,2-Dec-12,15
AMZN,9-Dec-12,16
AMZN,16-Dec-12,16
AMZN,23-Dec-12,19
AMZN,30-Dec-12,14
AMZN,6-Jan-13,11
AMZN,13-Jan-13,12
AMZN,20-Jan-13,10
AMZN,27-Jan-13,10
AMZN,3-Feb-13,11
AMZN,10-Feb-13,12
AMZN,17-Feb-13,14
AMZN,24-Feb-13,12
AMZN,3-Mar-13,11
AMZN,10-Mar-13,11
AMZN,17-Mar-13,13
AMZN,24-Mar-13,10
AMZN,31-Mar-13,14
AMZN,7-Apr-13,11
AMZN,14-Apr-13,10
AMZN,21-Apr-13,9
AMZN,28-Apr-13,11
AMZN,5-May-13,11
AMZN,12-May-13,9
AMZN,19-May-13,14
AMZN,26-May-13,11
AMZN,2-Jun-13,10
AMZN,9-Jun-13,11
AMZN,16-Jun-13,11
AMZN,23-Jun-13,13
AMZN,30-Jun-13,10
AMZN,7-Jul-13,8
AMZN,14-Jul-13,15
AMZN,21-Jul-13,14
AMZN,28-Jul-13,15
AMZN,4-Aug-13,15
AMZN,11-Aug-13,15
AMZN,18-Aug-13,8
AMZN,25-Aug-13,7
AMZN,1-Sep-13,8
AMZN,8-Sep-13,9
AMZN,15-Sep-13,9
AMZN,22-Sep-13,8
AMZN,29-Sep-13,7
AMZN,6-Oct-13,8
AMZN,13-Oct-13,10
AMZN,20-Oct-13,10
AMZN,27-Oct-13,10
AMZN,3-Nov-13,11
AMZN,10-Nov-13,11
AMZN,17-Nov-13,11
AMZN,24-Nov-13,10
AMZN,1-Dec-13,8
AMZN,8-Dec-13,12
AMZN,15-Dec-13,13
AMZN,22-Dec-13,12
AMZN,29-Dec-13,10
AMZN,5-Jan-14,7
AMZN,12-Jan-14,8
AMZN,19-Jan-14,8
AMZN,26-Jan-14,9
AMZN,2-Feb-14,8
AMZN,9-Feb-14,9
AMZN,16-Feb-14,8
AMZN,23-Feb-14,9
AMZN,2-Mar-14,8
AMZN,9-Mar-14,8
AMZN,16-Mar-14,11
AMZN,23-Mar-14,9
AMZN,30-Mar-14,9
AMZN,6-Apr-14,9
AMZN,13-Apr-14,8
AMZN,20-Apr-14,8
AMZN,27-Apr-14,9
AMZN,4-May-14,10
AMZN,11-May-14,10
AMZN,18-May-14,8
AMZN,25-May-14,9
AMZN,1-Jun-14,10
AMZN,8-Jun-14,11
AMZN,15-Jun-14,19
AMZN,22-Jun-14,15
AMZN,29-Jun-14,12
AMZN,6-Jul-14,11
AMZN,13-Jul-14,16
AMZN,20-Jul-14,16
AMZN,27-Jul-14,30
AMZN,3-Aug-14,20
AMZN,10-Aug-14,18
AMZN,17-Aug-14,19
AMZN,24-Aug-14,17
AMZN,31-Aug-14,100
AMZN,7-Sep-14,70
AMZN,14-Sep-14,98
AMZN,21-Sep-14,80
AMZN,28-Sep-14,60
AMZN,5-Oct-14,46
AMZN,12-Oct-14,39
AMZN,19-Oct-14,40
