symbol,date,trending
AMZN,17-May-14,23
AMZN,24-May-14,21
AMZN,31-May-14,22
AMZN,7-Jun-14,21
AMZN,14-Jun-14,21
AMZN,21-Jun-14,22
AMZN,28-Jun-14,21
AMZN,5-Jul-14,22
AMZN,12-Jul-14,22
AMZN,19-Jul-14,22
AMZN,26-Jul-14,25
AMZN,2-Aug-14,28
AMZN,9-Aug-14,26
AMZN,16-Aug-14,25
AMZN,23-Aug-14,25
AMZN,30-Aug-14,29
AMZN,6-Sep-14,25
AMZN,13-Sep-14,22
AMZN,20-Sep-14,20
AMZN,27-Sep-14,20
AMZN,4-Oct-14,23
AMZN,11-Oct-14,23
